u,l,kappa,delta,seed,forest_seed,trees,n,normal_gaps_json,paper_boundary,exact_threshold,empirical_threshold,empirical_to_boundary,empirical_to_exact,assumption_4_2
1.0,0.25,4.0,0.75,3,53003,1600,12,"[0.25, 0.7662801675249383, 1.0, 0.721520281705023, 0.3155634760247723, 0.4088022023070185, 0.41291785938486697, 0.26518176675411004, 0.6924292342020794, 0.5459017905658573]",4.0,0.5434270691997839,0.615234375,0.15380859375,1.1321378890932963,True
1.0,0.125,8.0,0.875,0,53000,1600,12,"[0.6483780583702203, 1.0, 0.18403647683237448, 0.6921233785102546, 0.24359308684704967, 0.4547555571898641, 0.42469076858166765, 0.125, 0.24903195927658095, 0.13383755330691588]",8.0,0.10461972297627188,0.1171875,0.0146484375,1.120128181056057,True
1.0,0.125,8.0,0.875,1,53001,1600,12,"[0.7606784726589104, 0.5570987995713431, 0.5476373631468185, 0.125, 0.19364934670638292, 0.2905022219983083, 0.7682247413292133, 0.1858007129420534, 1.0, 0.7907044298341437]",8.0,0.850757567706594,0.8203125,0.1025390625,0.9642141676286636,True
1.0,0.125,8.0,0.875,2,53002,1600,12,"[0.5525455548199549, 0.2838162867259618, 1.0, 0.6151010671257063, 0.2992633170345409, 0.125, 0.8976198446088733, 0.2513767791844002, 0.5223756098256384, 0.24050014128988695]",8.0,0.2220331205578107,0.17578125,0.02197265625,0.791689318955601,True
1.0,0.125,8.0,0.875,3,53003,1600,12,"[0.125, 0.6707819663121755, 1.0, 0.6128762827319818, 0.17726789880580043, 0.2613784872740703, 0.2653355864397591, 0.13655747867859197, 0.5761865192681178, 0.4033404497279047]",8.0,0.37903123426166235,0.4296875,0.0537109375,1.1336466791107969,True
1.0,0.0625,16.0,0.9375,0,53000,1600,12,"[0.5611828789628575, 1.0, 0.10468196850825613, 0.6122254213094073, 0.15213177946772163, 0.34970675386542305, 0.31922514621648773, 0.0625, 0.15667755317743742, 0.0684600667447041]",16.0,0.11957934725614634,0.1171875,0.00732421875,0.9799978231105171,True
1.0,0.0625,16.0,0.9375,1,53001,1600,12,"[0.6943868713015391, 0.4583982632462348, 0.44804753696945165, 0.0625, 0.11203525704928433, 0.19239743512471558, 0.7035868595814939, 0.1060221242528231, 1.0, 0.7311708955352046]",16.0,0.8128242709653452,0.8203125,0.05126953125,1.0092126051129864,True
1.0,0.0625,16.0,0.9375,2,53002,1600,12,"[0.4534096779898394, 0.18651613967764352, 1.0, 0.5231127523336301, 0.2001726078167981, 0.0625, 0.8658777777809873, 0.15864761341638178, 0.4207045298326577, 0.14956171889345782]",16.0,0.13004777147578775,0.1171875,0.00732421875,0.9011111737644649,True
1.0,0.0625,16.0,0.9375,3,53003,1600,12,"[0.0625, 0.5871852951420475, 1.0, 0.5205915169116959, 0.09958030740083705, 0.16711924061106848, 0.1705011585989808, 0.07032136941883121, 0.4794582443776781, 0.29800876494300915]",16.0,0.2556101850301049,0.2734375,0.01708984375,1.0697441495447275,True
2.0,0.5,4.0,1.5,0,53000,1600,12,"[1.4982428093775153, 2.0, 0.647091859037822, 1.5648967011396084, 0.7800814815587449, 1.1827201763146227, 1.130000258790214, 0.5, 0.7916503096126153, 0.5232974937631714]",8.0,0.18752476589474767,0.234375,0.029296875,1.2498349158401192,True
