u,l,kappa,delta,seed,k,n,normal_gaps_json,paper_boundary,direct_threshold,detected_at_90pct_boundary,assumption_4_2
1.0,0.25,4.0,0.75,2,7,12,"[0.6733570211929474, 0.43187514362098167, 1.0, 0.7232653401993144, 0.44740653528619595, 0.25, 0.9305255384893997, 0.3983059294265926, 0.6486173986508978, 0.3867321022277021]",3.25,0.1666303404183775,True,True
1.0,0.25,4.0,0.75,3,1,12,"[0.25, 0.7662801675249383, 1.0, 0.721520281705023, 0.3155634760247723, 0.4088022023070185, 0.41291785938486697, 0.26518176675411004, 0.6924292342020794, 0.5459017905658573]",1.0,0.7662801675249385,True,True
1.0,0.25,4.0,0.75,3,3,12,"[0.25, 0.7662801675249383, 1.0, 0.721520281705023, 0.3155634760247723, 0.4088022023070185, 0.41291785938486697, 0.26518176675411004, 0.6924292342020794, 0.5459017905658573]",1.75,0.6738218131103009,True,True
1.0,0.25,4.0,0.75,3,5,12,"[0.25, 0.7662801675249383, 1.0, 0.721520281705023, 0.3155634760247723, 0.4088022023070185, 0.41291785938486697, 0.26518176675411004, 0.6924292342020794, 0.5459017905658573]",2.5,0.30180966533936954,True,True
1.0,0.25,4.0,0.75,3,7,12,"[0.25, 0.7662801675249383, 1.0, 0.721520281705023, 0.3155634760247723, 0.4088022023070185, 0.41291785938486697, 0.26518176675411004, 0.6924292342020794, 0.5459017905658573]",3.25,0.14237588772325604,True,True
1.0,0.125,8.0,0.875,0,1,12,"[0.6483780583702203, 1.0, 0.18403647683237448, 0.6921233785102546, 0.24359308684704967, 0.4547555571898641, 0.42469076858166765, 0.125, 0.24903195927658095, 0.13383755330691588]",1.0,0.6483780583702204,True,True
1.0,0.125,8.0,0.875,0,3,12,"[0.6483780583702203, 1.0, 0.18403647683237448, 0.6921233785102546, 0.24359308684704967, 0.4547555571898641, 0.42469076858166765, 0.125, 0.24903195927658095, 0.13383755330691588]",1.875,1.1102230321214808e-16,True,True
1.0,0.125,8.0,0.875,0,5,12,"[0.6483780583702203, 1.0, 0.18403647683237448, 0.6921233785102546, 0.24359308684704967, 0.4547555571898641, 0.42469076858166765, 0.125, 0.24903195927658095, 0.13383755330691588]",2.75,1.1102230463386476e-16,True,True
1.0,0.125,8.0,0.875,0,7,12,"[0.6483780583702203, 1.0, 0.18403647683237448, 0.6921233785102546, 0.24359308684704967, 0.4547555571898641, 0.42469076858166765, 0.125, 0.24903195927658095, 0.13383755330691588]",3.625,1.110223057970875e-16,True,True
1.0,0.125,8.0,0.875,1,1,12,"[0.7606784726589104, 0.5570987995713431, 0.5476373631468185, 0.125, 0.19364934670638292, 0.2905022219983083, 0.7682247413292133, 0.1858007129420534, 1.0, 0.7907044298341437]",1.0,0.7907044298341434,True,True
1.0,0.125,8.0,0.875,1,3,12,"[0.7606784726589104, 0.5570987995713431, 0.5476373631468185, 0.125, 0.19364934670638292, 0.2905022219983083, 0.7682247413292133, 0.1858007129420534, 1.0, 0.7907044298341437]",1.875,0.8264860858517732,True,True
1.0,0.125,8.0,0.875,1,5,12,"[0.7606784726589104, 0.5570987995713431, 0.5476373631468185, 0.125, 0.19364934670638292, 0.2905022219983083, 0.7682247413292133, 0.1858007129420534, 1.0, 0.7907044298341437]",2.75,0.880718195402061,True,True
1.0,0.125,8.0,0.875,1,7,12,"[0.7606784726589104, 0.5570987995713431, 0.5476373631468185, 0.125, 0.19364934670638292, 0.2905022219983083, 0.7682247413292133, 0.1858007129420534, 1.0, 0.7907044298341437]",3.625,0.9039605280664693,True,True
1.0,0.125,8.0,0.875,2,1,12,"[0.5525455548199549, 0.2838162867259618, 1.0, 0.6151010671257063, 0.2992633170345409, 0.125, 0.8976198446088733, 0.2513767791844002, 0.5223756098256384, 0.24050014128988695]",1.0,0.6151010671257066,True,True
1.0,0.125,8.0,0.875,2,3,12,"[0.5525455548199549, 0.2838162867259618, 1.0, 0.6151010671257063, 0.2992633170345409, 0.125, 0.8976198446088733, 0.2513767791844002, 0.5223756098256384, 0.24050014128988695]",1.875,0.3801860183066942,True,True
1.0,0.125,8.0,0.875,2,5,12,"[0.5525455548199549, 0.2838162867259618, 1.0, 0.6151010671257063, 0.2992633170345409, 0.125, 0.8976198446088733, 0.2513767791844002, 0.5223756098256384, 0.24050014128988695]",2.75,0.0579282051879051,True,True
1.0,0.125,8.0,0.875,2,7,12,"[0.5525455548199549, 0.2838162867259618, 1.0, 0.6151010671257063, 0.2992633170345409, 0.125, 0.8976198446088733, 0.2513767791844002, 0.5223756098256384, 0.24050014128988695]",3.625,2.2204460784601285e-16,True,True
1.0,0.125,8.0,0.875,3,1,12,"[0.125, 0.6707819663121755, 1.0, 0.6128762827319818, 0.17726789880580043, 0.2613784872740703, 0.2653355864397591, 0.13655747867859197, 0.5761865192681178, 0.4033404497279047]",1.0,0.6707819663121756,True,True
1.0,0.125,8.0,0.875,3,3,12,"[0.125, 0.6707819663121755, 1.0, 0.6128762827319818, 0.17726789880580043, 0.2613784872740703, 0.2653355864397591, 0.13655747867859197, 0.5761865192681178, 0.4033404497279047]",1.875,0.5260566333621222,True,True
1.0,0.125,8.0,0.875,3,5,12,"[0.125, 0.6707819663121755, 1.0, 0.6128762827319818, 0.17726789880580043, 0.2613784872740703, 0.2653355864397591, 0.13655747867859197, 0.5761865192681178, 0.4033404497279047]",2.75,0.07958964804657064,True,True
1.0,0.125,8.0,0.875,3,7,12,"[0.125, 0.6707819663121755, 1.0, 0.6128762827319818, 0.17726789880580043, 0.2613784872740703, 0.2653355864397591, 0.13655747867859197, 0.5761865192681178, 0.4033404497279047]",3.625,2.2204460784601285e-16,True,True
