seed,depth,knn,local_gap,boundary
5,6.843398872856015,0.022615403031843173,0.005394891969598414,0.0360752959790136
5,6.52981842032679,0.022615403031843173,0.010697986296188122,0.031339432573075365
6,6.9475767601349805,0.0158681284070539,0.004580577271526047,0.020698803172534162
6,6.691791112170494,0.0158681284070539,0.009281225905100454,0.02584899613964941
6,6.378909339049722,0.02108821803839476,0.012884019771183544,0.03926125498273507
6,6.173638107125741,0.026030530318107325,0.019268592726634018,0.0516170356820165
6,5.877136539097,0.039778480397400104,0.025653067486954912,0.0777984404360031
6,5.631522495625145,0.0535886949787233,0.0430307611921926,0.10292317065592632
6,6.470223375485535,0.04761571670941324,0.03345695093106513,0.1638599628203883
6,6.586687701252228,0.04522487283034593,0.02155113826706606,0.16983707251805658
6,6.774595913049914,0.034802164822738776,0.026072287523555573,0.20696223935452043
6,7.323152479630091,0.034802164822738776,0.013419221935946135,0.22198164756516772
6,7.2285539664845455,0.035277062399226414,0.018453060224955534,0.2338006832264127
6,6.981389690559611,0.035892423187413806,0.02433856848298631,0.2588877680150788
6,7.216259253402345,0.03134852303991712,0.0209766649303135,0.2824778201923853
6,7.500183171325465,0.02362149916338897,0.017274501680443366,0.3008410978757058
6,8.618391166866946,0.017147208892362466,0.00901800296044536,0.31702682355327205
6,8.74800656296743,0.017147208892362466,0.004645997506486976,0.3188771037965965
6,8.00707581887725,0.020123894800222263,0.011004379961868233,0.326318818566246
6,7.223861124923361,0.027489311468664446,0.02576699570394883,0.34088586372033297
6,7.941759434183072,0.020095261015359477,0.0206022232515711,0.37785280997414367
6,8.487163306607378,0.016915300968307546,0.004869647138789013,0.38209031022347517
6,8.4433456967433,0.014714583357008936,0.005899651154529589,0.3875921042517217
6,7.980236341860094,0.014714583357008936,0.011878233730054227,0.39388961253253435
6,7.755442214183079,0.01990090925665211,0.010990172228743184,0.41134857171183015
6,7.62558147153111,0.02170946336792834,0.012254736438655378,0.4158699569900207
6,6.229225716125411,0.037699933447224485,0.06738798184375927,0.4358580445891409
6,6.643092514737935,0.048995498876871005,0.06014008994016312,0.44935407932246074
6,6.870073065546704,0.04460165584332869,0.015196361274772974,0.44386177553053285
6,6.9175587586107365,0.03464148834028147,0.0200783446877964,0.4189613567729148
6,7.293040958968845,0.03464148834028147,0.01194006317462043,0.40370508615494005
6,6.97207700087101,0.03809103063278792,0.03176081640452649,0.39508123042367393
6,7.528413039521141,0.03134392381295623,0.029058760248428517,0.34018345334588707
6,7.760599108421956,0.030056026445328166,0.007953668736702224,0.3369637099268169
6,7.484548327744238,0.030056026445328166,0.013032535067608764,0.3242761158724826
6,7.238394595191555,0.030233756510907116,0.018751305033413768,0.3108986397915994
6,6.759440863615248,0.039096240206499065,0.029158144399101416,0.2867735058056551
6,6.940952282821563,0.041611698601765904,0.024736049023151574,0.25258235099339654
6,7.094194884568635,0.037481028508233184,0.018525443030094457,0.23730140775935193
6,6.866003495782319,0.034439073135160994,0.023969138435045,0.21553146493320763
6,7.403595586401355,0.03024100842310129,0.015586969369219772,0.18936313088926193
6,7.409278227060894,0.02947554876731522,0.0149319649815704,0.18435752619476808
6,7.088036131006518,0.0264252015395408,0.018611645924671127,0.15949920092612113
6,7.34223684983036,0.026349502233376444,0.01212912900850327,0.14713423434542583
6,7.177224863770524,0.025835949684215587,0.014207780643759549,0.1352409429091146
6,6.931553206392256,0.025032435397830555,0.014978554288351542,0.11871867305790673
6,6.707483530918722,0.025032435397830555,0.015013275344320676,0.10528383433241151
6,6.479742929912939,0.031669120183089004,0.011664058855397008,0.08869212236926538
7,6.219448055162055,0.02994946485446871,0.011908404011883797,0.032707608892468196
7,6.157914420886513,0.02994946485446871,0.020369763838809986,0.0390793201280424
7,6.293029745253924,0.03438145777075604,0.0230558342214568,0.07344713657008817
7,6.645673007183048,0.034883722943597886,0.013435734133716626,0.085190988570956
7,6.349515911067694,0.04093476945022405,0.02447604916457738,0.10031860483752142
7,6.0503422851398465,0.05053536347061133,0.03417549289166065,0.13414308690011076
7,6.14411846781613,0.045696321030757506,0.037338891455278994,0.16866959062084272
7,7.606999592369753,0.01932017178004374,0.02282055146015176,0.20882086981066875
7,8.328158124656307,0.014928312795661747,0.005469155926817654,0.21431069354114624
7,8.47399725497436,0.01274891754639862,0.005716012679580579,0.21975918166430405
7,8.193782610726158,0.01274891754639862,0.009146795077665526,0.2257427189003074
7,8.083613383161563,0.017672938714129706,0.00854856156393112,0.2380527718196351
7,7.850524012978436,0.0200684054442477,0.01581754762124364,0.24283984202816963
7,6.876778653175044,0.03603576111521427,0.028814113142293055,0.2696878670621224
7,7.167224931823064,0.03918220600739797,0.023485167943591484,0.30046806831275574
7,7.513245656127496,0.035801673833481915,0.014448585686050064,0.31665820294930536
7,7.2606745958979655,0.035801673833481915,0.023792627820442558,0.32936523968485587
7,7.326410057643147,0.03978919883546015,0.02142428476584543,0.36424345859019047
7,7.312284818642524,0.04012247556137324,0.02236838936364502,0.37221380921654673
7,6.986276934477473,0.043978947359362974,0.02873571164032196,0.4089802373174805
7,7.269362075226027,0.044137907917362454,0.019035768578128137,0.42968523249719065
7,7.027579277771004,0.04308808268106455,0.029852402621455942,0.4470517744737368
7,7.379192781571686,0.03308774224383941,0.02661768617422089,0.48939003774010253
7,7.880835515293404,0.031291066441655815,0.011045217695673543,0.49971285317782144
7,7.971658993298915,0.031291066441655815,0.009755494577210144,0.4885195268685504
7,7.544282233588388,0.031808745571940564,0.025212604502399427,0.48020186402340115
7,7.184902302494352,0.032804218399254646,0.029349715731993686,0.4380943178637515
7,8.110466499109407,0.024813483646562506,0.01101214876547757,0.4215024325594138
7,8.167344778382141,0.02264051875591555,0.010865830463571369,0.4160700203327964
7,8.05550992508843,0.022156344275002703,0.01147475961944755,0.39977077163227104
7,7.919057755229447,0.022156344275002703,0.015098933691029714,0.3931205010939013
7,7.776349944313119,0.026990710587653056,0.014626201644273251,0.3695729042502116
7,7.7294479211658125,0.02781052547240199,0.014503083092537283,0.3638680978053548
7,6.923593404777897,0.03713106936848909,0.02244569203073632,0.34056673806513704
7,6.3406762594044075,0.0529442446548515,0.047544930678218134,0.31897671374388215
7,5.817671690333772,0.06249674294566878,0.054637701881073475,0.24547687670870078
7,6.8006830536136125,0.05131648151193382,0.021210743014798084,0.2097013099817352
7,6.8750493887269855,0.048658113790881585,0.014960698426599472,0.2030553906791046
7,6.013133179303642,0.048658113790881585,0.041405824624778764,0.17977991312853625
7,6.787785792821865,0.02623621491988144,0.032430279635743464,0.12024374142954708
7,7.385413570310249,0.021976704861883235,0.0054256465325361325,0.11491935385704932
7,7.122669009638429,0.01976594266485343,0.011799576282138347,0.10939244836447481
7,7.104681564026622,0.01976594266485343,0.011204678154230596,0.09132020129277263
7,7.04647751840824,0.021500786359557034,0.01194883215737741,0.08698309205601362
7,6.116879656195915,0.028305559922762645,0.021842385146710885,0.06742253697801781
7,6.054683139196315,0.03339608504107481,0.01598772680958982,0.04329832176259185
8,5.661432741497813,0.04012223970767694,0.022798573707871,0.039187166016586575
8,5.92658579143669,0.04012223970767694,0.019592314543386384,0.053689595260106346
8,5.76544112426712,0.043027594976175795,0.031069913387881794,0.07837179510335934
8,6.533564285365321,0.03937596055453293,0.02176708587967382,0.11582942203586993
8,6.593250627973067,0.03937596055453293,0.018996628704294666,0.12190596686270698
8,6.31823367878158,0.0486506217561184,0.023568001001063522,0.15382267944445926
