method,u,l,kappa,delta,k,seed,n,normal_gaps_json,paper_boundary,direct_threshold,threshold_to_boundary,assumption_4_2,detected_below_boundary,detected_above_boundary
knn,1.0,0.03125,32.0,0.96875,1,5,12,"[0.22349644416186457, 0.06231165100895236, 1.0, 0.2990536377253016, 0.2081767462082975, 0.6502708182389213, 0.23304418684182274, 0.09375761998804936, 0.03125, 0.7582818719185955]",1.0,0.7582818719185954,0.7582818719185954,True,True,True
knn,1.0,0.03125,32.0,0.96875,3,5,12,"[0.22349644416186457, 0.06231165100895236, 1.0, 0.2990536377253016, 0.2081767462082975, 0.6502708182389213, 0.23304418684182274, 0.09375761998804936, 0.03125, 0.7582818719185955]",1.96875,0.6405995654703848,0.32538390627067165,True,True,True
knn,1.0,0.03125,32.0,0.96875,5,5,12,"[0.22349644416186457, 0.06231165100895236, 1.0, 0.2990536377253016, 0.2081767462082975, 0.6502708182389213, 0.23304418684182274, 0.09375761998804936, 0.03125, 0.7582818719185955]",2.9375,0.38681340881601506,0.13168116044800512,True,True,True
knn,1.0,0.03125,32.0,0.96875,7,5,12,"[0.22349644416186457, 0.06231165100895236, 1.0, 0.2990536377253016, 0.2081767462082975, 0.6502708182389213, 0.23304418684182274, 0.09375761998804936, 0.03125, 0.7582818719185955]",3.90625,0.2780479131069998,0.07118026575539195,True,True,True
iforest,1.0,0.03125,32.0,0.96875,0,6,12,"[0.10432941395831492, 0.0851709517773881, 0.16669862750156833, 0.34666510547961615, 0.11075723486336661, 1.0, 0.032417908818194216, 0.37379584115918396, 0.27777831502158595, 0.03125]",32.0,0.1341586363870552,0.004192457387095475,True,True,True
knn,1.0,0.03125,32.0,0.96875,1,6,12,"[0.10432941395831492, 0.0851709517773881, 0.16669862750156833, 0.34666510547961615, 0.11075723486336661, 1.0, 0.032417908818194216, 0.37379584115918396, 0.27777831502158595, 0.03125]",1.0,0.27777831502158584,0.27777831502158584,True,True,True
knn,1.0,0.03125,32.0,0.96875,3,6,12,"[0.10432941395831492, 0.0851709517773881, 0.16669862750156833, 0.34666510547961615, 0.11075723486336661, 1.0, 0.032417908818194216, 0.37379584115918396, 0.27777831502158595, 0.03125]",1.96875,0.2994902544522943,0.1521220340075146,True,True,True
knn,1.0,0.03125,32.0,0.96875,5,6,12,"[0.10432941395831492, 0.0851709517773881, 0.16669862750156833, 0.34666510547961615, 0.11075723486336661, 1.0, 0.032417908818194216, 0.37379584115918396, 0.27777831502158595, 0.03125]",2.9375,0.4201387459104215,0.14302595605461157,True,True,True
knn,1.0,0.03125,32.0,0.96875,7,6,12,"[0.10432941395831492, 0.0851709517773881, 0.16669862750156833, 0.34666510547961615, 0.11075723486336661, 1.0, 0.032417908818194216, 0.37379584115918396, 0.27777831502158595, 0.03125]",3.90625,0.4960163953708396,0.12698019721493492,True,True,True
iforest,1.0,0.03125,32.0,0.96875,0,7,12,"[0.04574158793752778, 0.2625749821583712, 0.039032266121902505, 0.3621473880483513, 0.03125, 0.06147938105092376, 0.16035455811121965, 0.046349263713835256, 0.08505425927093963, 1.0]",32.0,0.9895846019554545,0.030924518811107953,True,True,True
knn,1.0,0.03125,32.0,0.96875,1,7,12,"[0.04574158793752778, 0.2625749821583712, 0.039032266121902505, 0.3621473880483513, 0.03125, 0.06147938105092376, 0.16035455811121965, 0.046349263713835256, 0.08505425927093963, 1.0]",1.0,1.0000000000000002,1.0000000000000002,True,False,True
knn,1.0,0.03125,32.0,0.96875,3,7,12,"[0.04574158793752778, 0.2625749821583712, 0.039032266121902505, 0.3621473880483513, 0.03125, 0.06147938105092376, 0.16035455811121965, 0.046349263713835256, 0.08505425927093963, 1.0]",1.96875,0.9541332080740961,0.48463908981541387,True,True,True
knn,1.0,0.03125,32.0,0.96875,5,7,12,"[0.04574158793752778, 0.2625749821583712, 0.039032266121902505, 0.3621473880483513, 0.03125, 0.06147938105092376, 0.16035455811121965, 0.046349263713835256, 0.08505425927093963, 1.0]",2.9375,0.8901100213962494,0.30301617749659554,True,True,True
knn,1.0,0.03125,32.0,0.96875,7,7,12,"[0.04574158793752778, 0.2625749821583712, 0.039032266121902505, 0.3621473880483513, 0.03125, 0.06147938105092376, 0.16035455811121965, 0.046349263713835256, 0.08505425927093963, 1.0]",3.90625,0.8626715128200293,0.2208439072819275,True,True,True
iforest,2.0,0.5,4.0,1.5,0,0,12,"[0.6516139630128103, 0.7738184358086285, 1.9352281410769425, 0.7687092199238024, 2.0, 0.5519393179988545, 1.7450026049759382, 0.9184490391108043, 0.5, 0.9488472338160401]",8.0,0.9309996265227957,0.11637495331534946,True,True,True
knn,2.0,0.5,4.0,1.5,1,0,12,"[0.6516139630128103, 0.7738184358086285, 1.9352281410769425, 0.7687092199238024, 2.0, 0.5519393179988545, 1.7450026049759382, 0.9184490391108043, 0.5, 0.9488472338160401]",2.0,0.9488472338160411,0.47442361690802054,True,True,True
knn,2.0,0.5,4.0,1.5,3,0,12,"[0.6516139630128103, 0.7738184358086285, 1.9352281410769425, 0.7687092199238024, 2.0, 0.5519393179988545, 1.7450026049759382, 0.9184490391108043, 0.5, 0.9488472338160401]",3.5,1.1119791920173558,0.31770834057638736,True,True,True
knn,2.0,0.5,4.0,1.5,5,0,12,"[0.6516139630128103, 0.7738184358086285, 1.9352281410769425, 0.7687092199238024, 2.0, 0.5519393179988545, 1.7450026049759382, 0.9184490391108043, 0.5, 0.9488472338160401]",5.0,0.7948902305617074,0.15897804611234148,True,True,True
knn,2.0,0.5,4.0,1.5,7,0,12,"[0.6516139630128103, 0.7738184358086285, 1.9352281410769425, 0.7687092199238024, 2.0, 0.5519393179988545, 1.7450026049759382, 0.9184490391108043, 0.5, 0.9488472338160401]",6.5,0.7515654181274847,0.11562544894268995,True,True,True
iforest,2.0,0.5,4.0,1.5,0,1,12,"[1.355113970030244, 2.0, 0.6482172445452782, 1.817683719548533, 0.8429142348550241, 1.203431539832963, 0.5, 0.7205277186556617, 1.993034051184642, 0.5406689464035377]",8.0,0.627507233816935,0.07843840422711687,True,True,True
knn,2.0,0.5,4.0,1.5,1,1,12,"[1.355113970030244, 2.0, 0.6482172445452782, 1.817683719548533, 0.8429142348550241, 1.203431539832963, 0.5, 0.7205277186556617, 1.993034051184642, 0.5406689464035377]",2.0,1.3551139700302441,0.6775569850151221,True,True,True
knn,2.0,0.5,4.0,1.5,3,1,12,"[1.355113970030244, 2.0, 0.6482172445452782, 1.817683719548533, 0.8429142348550241, 1.203431539832963, 0.5, 0.7205277186556617, 1.993034051184642, 0.5406689464035377]",3.5,0.5394582400583567,0.15413092573095907,True,True,True
knn,2.0,0.5,4.0,1.5,5,1,12,"[1.355113970030244, 2.0, 0.6482172445452782, 1.817683719548533, 0.8429142348550241, 1.203431539832963, 0.5, 0.7205277186556617, 1.993034051184642, 0.5406689464035377]",5.0,0.10118430875922747,0.020236861751845494,True,True,True
knn,2.0,0.5,4.0,1.5,7,1,12,"[1.355113970030244, 2.0, 0.6482172445452782, 1.817683719548533, 0.8429142348550241, 1.203431539832963, 0.5, 0.7205277186556617, 1.993034051184642, 0.5406689464035377]",6.5,4.440892102636529e-16,6.832141696363891e-17,True,True,True
iforest,2.0,0.5,4.0,1.5,0,2,12,"[1.1569887446113805, 0.8057504946752204, 0.6283802407261678, 2.0, 1.0785918672327033, 1.499248940116451, 0.5451919660776725, 0.5, 0.9630139271047928, 1.9387838271610853]",8.0,1.8824537203493956,0.23530671504367445,True,True,True
knn,2.0,0.5,4.0,1.5,1,2,12,"[1.1569887446113805, 0.8057504946752204, 0.6283802407261678, 2.0, 1.0785918672327033, 1.499248940116451, 0.5451919660776725, 0.5, 0.9630139271047928, 1.9387838271610853]",2.0,1.9387838271610855,0.9693919135805428,True,False,True
knn,2.0,0.5,4.0,1.5,3,2,12,"[1.1569887446113805, 0.8057504946752204, 0.6283802407261678, 2.0, 1.0785918672327033, 1.499248940116451, 0.5451919660776725, 0.5, 0.9630139271047928, 1.9387838271610853]",3.5,1.7075504505982877,0.4878715573137965,True,True,True
knn,2.0,0.5,4.0,1.5,5,2,12,"[1.1569887446113805, 0.8057504946752204, 0.6283802407261678, 2.0, 1.0785918672327033, 1.499248940116451, 0.5451919660776725, 0.5, 0.9630139271047928, 1.9387838271610853]",5.0,1.4667281545145758,0.29334563090291516,True,True,True
knn,2.0,0.5,4.0,1.5,7,2,12,"[1.1569887446113805, 0.8057504946752204, 0.6283802407261678, 2.0, 1.0785918672327033, 1.499248940116451, 0.5451919660776725, 0.5, 0.9630139271047928, 1.9387838271610853]",6.5,1.363518599050129,0.20977209216155832,True,True,True
iforest,2.0,0.5,4.0,1.5,0,3,12,"[0.6237210092300298, 1.5128320015681802, 2.0, 1.2022312458779436, 0.5, 1.1658742129861344, 0.6212673812515247, 0.7106530459517244, 0.5022791346998174, 1.3027055890664514]",8.0,1.1416972629766258,0.14271215787207822,True,True,True
knn,2.0,0.5,4.0,1.5,1,3,12,"[0.6237210092300298, 1.5128320015681802, 2.0, 1.2022312458779436, 0.5, 1.1658742129861344, 0.6212673812515247, 0.7106530459517244, 0.5022791346998174, 1.3027055890664514]",2.0,1.5128320015681804,0.7564160007840902,True,True,True
knn,2.0,0.5,4.0,1.5,3,3,12,"[0.6237210092300298, 1.5128320015681802, 2.0, 1.2022312458779436, 0.5, 1.1658742129861344, 0.6212673812515247, 0.7106530459517244, 0.5022791346998174, 1.3027055890664514]",3.5,0.9630369974460502,0.27515342784172864,True,True,True
knn,2.0,0.5,4.0,1.5,5,3,12,"[0.6237210092300298, 1.5128320015681802, 2.0, 1.2022312458779436, 0.5, 1.1658742129861344, 0.6212673812515247, 0.7106530459517244, 0.5022791346998174, 1.3027055890664514]",5.0,0.16548026199465643,0.033096052398931285,True,True,True
knn,2.0,0.5,4.0,1.5,7,3,12,"[0.6237210092300298, 1.5128320015681802, 2.0, 1.2022312458779436, 0.5, 1.1658742129861344, 0.6212673812515247, 0.7106530459517244, 0.5022791346998174, 1.3027055890664514]",6.5,4.440892102636529e-16,6.832141696363891e-17,True,True,True
iforest,2.0,0.5,4.0,1.5,0,4,12,"[1.0647501224895404, 1.7371041162689642, 0.6714309219554966, 1.4428509976072224, 2.0, 0.9883810943051545, 0.5189692034486878, 0.5, 0.6327039246288544, 1.0015767346012996]",8.0,0.8075503054673016,0.1009437881834127,True,True,True
knn,2.0,0.5,4.0,1.5,1,4,12,"[1.0647501224895404, 1.7371041162689642, 0.6714309219554966, 1.4428509976072224, 2.0, 0.9883810943051545, 0.5189692034486878, 0.5, 0.6327039246288544, 1.0015767346012996]",2.0,1.4428509976072228,0.7214254988036114,True,True,True
knn,2.0,0.5,4.0,1.5,3,4,12,"[1.0647501224895404, 1.7371041162689642, 0.6714309219554966, 1.4428509976072224, 2.0, 0.9883810943051545, 0.5189692034486878, 0.5, 0.6327039246288544, 1.0015767346012996]",3.5,0.5635095186406324,0.16100271961160925,True,True,True
knn,2.0,0.5,4.0,1.5,5,4,12,"[1.0647501224895404, 1.7371041162689642, 0.6714309219554966, 1.4428509976072224, 2.0, 0.9883810943051545, 0.5189692034486878, 0.5, 0.6327039246288544, 1.0015767346012996]",5.0,2.2204460513182646e-16,4.440892102636529e-17,True,True,True
knn,2.0,0.5,4.0,1.5,7,4,12,"[1.0647501224895404, 1.7371041162689642, 0.6714309219554966, 1.4428509976072224, 2.0, 0.9883810943051545, 0.5189692034486878, 0.5, 0.6327039246288544, 1.0015767346012996]",6.5,2.2204460513182646e-16,3.4160708481819456e-17,True,True,True
iforest,2.0,0.5,4.0,1.5,0,5,12,"[1.0983436481985136, 0.6589579456792894, 2.0, 1.2340411207229336, 1.0675860300366649, 1.6837115908166318, 1.1168768914394709, 0.7759480131046639, 0.5, 1.7904502788526389]",8.0,1.683491159308825,0.21043639491360314,True,True,True
knn,2.0,0.5,4.0,1.5,1,5,12,"[1.0983436481985136, 0.6589579456792894, 2.0, 1.2340411207229336, 1.0675860300366649, 1.6837115908166318, 1.1168768914394709, 0.7759480131046639, 0.5, 1.7904502788526389]",2.0,1.7904502788526389,0.8952251394263194,True,True,True
knn,2.0,0.5,4.0,1.5,3,5,12,"[1.0983436481985136, 0.6589579456792894, 2.0, 1.2340411207229336, 1.0675860300366649, 1.6837115908166318, 1.1168768914394709, 0.7759480131046639, 0.5, 1.7904502788526389]",3.5,1.4305512025287546,0.40872891500821557,True,True,True
knn,2.0,0.5,4.0,1.5,5,5,12,"[1.0983436481985136, 0.6589579456792894, 2.0, 1.2340411207229336, 1.0675860300366649, 1.6837115908166318, 1.1168768914394709, 0.7759480131046639, 0.5, 1.7904502788526389]",5.0,1.1186542513435813,0.22373085026871625,True,True,True
knn,2.0,0.5,4.0,1.5,7,5,12,"[1.0983436481985136, 0.6589579456792894, 2.0, 1.2340411207229336, 1.0675860300366649, 1.6837115908166318, 1.1168768914394709, 0.7759480131046639, 0.5, 1.7904502788526389]",6.5,0.9849841294070782,0.15153601990878127,True,True,True
iforest,2.0,0.5,4.0,1.5,0,6,12,"[0.8098278401553264, 0.7467007642897915, 0.9767935997385342, 1.3091639782966649, 0.8294282774531149, 2.0, 0.5073924425069123, 1.349223142226817, 1.1981448665001977, 0.5]",8.0,0.6631036467998079,0.08288795584997599,True,True,True
knn,2.0,0.5,4.0,1.5,1,6,12,"[0.8098278401553264, 0.7467007642897915, 0.9767935997385342, 1.3091639782966649, 0.8294282774531149, 2.0, 0.5073924425069123, 1.349223142226817, 1.1981448665001977, 0.5]",2.0,1.1981448665001972,0.5990724332500986,True,True,True
knn,2.0,0.5,4.0,1.5,3,6,12,"[0.8098278401553264, 0.7467007642897915, 0.9767935997385342, 1.3091639782966649, 0.8294282774531149, 2.0, 0.5073924425069123, 1.349223142226817, 1.1981448665001977, 0.5]",3.5,0.9597188102089222,0.27420537434540637,True,True,True
knn,2.0,0.5,4.0,1.5,5,6,12,"[0.8098278401553264, 0.7467007642897915, 0.9767935997385342, 1.3091639782966649, 0.8294282774531149, 2.0, 0.5073924425069123, 1.349223142226817, 1.1981448665001977, 0.5]",5.0,1.1225737892861303,0.22451475785722605,True,True,True
knn,2.0,0.5,4.0,1.5,7,6,12,"[0.8098278401553264, 0.7467007642897915, 0.9767935997385342, 1.3091639782966649, 0.8294282774531149, 2.0, 0.5073924425069123, 1.349223142226817, 1.1981448665001977, 0.5]",6.5,1.1923687803192196,0.18344135081834148,True,True,True
iforest,2.0,0.5,4.0,1.5,0,7,12,"[0.5823103248208636, 1.1714704376003002, 0.5465117479889022, 1.3322451214152993, 0.5, 0.6554231702006436, 0.9617507184430714, 0.5853924696408307, 0.7462913748305611, 2.0]",8.0,1.967514046846926,0.24593925585586576,True,True,True
knn,2.0,0.5,4.0,1.5,1,7,12,"[0.5823103248208636, 1.1714704376003002, 0.5465117479889022, 1.3322451214152993, 0.5, 0.6554231702006436, 0.9617507184430714, 0.5853924696408307, 0.7462913748305611, 2.0]",2.0,2.0000000000000004,1.0000000000000002,True,False,True
knn,2.0,0.5,4.0,1.5,3,7,12,"[0.5823103248208636, 1.1714704376003002, 0.5465117479889022, 1.3322451214152993, 0.5, 0.6554231702006436, 0.9617507184430714, 0.5853924696408307, 0.7462913748305611, 2.0]",3.5,1.9139613773533095,0.5468461078152312,True,True,True
knn,2.0,0.5,4.0,1.5,5,7,12,"[0.5823103248208636, 1.1714704376003002, 0.5465117479889022, 1.3322451214152993, 0.5, 0.6554231702006436, 0.9617507184430714, 0.5853924696408307, 0.7462913748305611, 2.0]",5.0,1.8102692571708137,0.36205385143416274,True,True,True
knn,2.0,0.5,4.0,1.5,7,7,12,"[0.5823103248208636, 1.1714704376003002, 0.5465117479889022, 1.3322451214152993, 0.5, 0.6554231702006436, 0.9617507184430714, 0.5853924696408307, 0.7462913748305611, 2.0]",6.5,1.7658297770926012,0.27166611955270786,True,True,True
iforest,2.0,0.25,8.0,1.75,0,0,12,"[0.3719380202616389, 0.48133075337625403, 1.9036331463446412, 0.47657157702142994, 2.0, 0.2899492575884986, 1.6299681625243625, 0.6223971543569531, 0.25, 0.6535509434252986]",16.0,0.6373151268926983,0.039832195430793645,True,True,True
knn,2.0,0.25,8.0,1.75,1,0,12,"[0.3719380202616389, 0.48133075337625403, 1.9036331463446412, 0.47657157702142994, 2.0, 0.2899492575884986, 1.6299681625243625, 0.6223971543569531, 0.25, 0.6535509434252986]",2.0,0.6535509434252981,0.32677547171264903,True,True,True
knn,2.0,0.25,8.0,1.75,3,0,12,"[0.3719380202616389, 0.48133075337625403, 1.9036331463446412, 0.47657157702142994, 2.0, 0.2899492575884986, 1.6299681625243625, 0.6223971543569531, 0.25, 0.6535509434252986]",3.75,1.180438013570133,0.3147834702853688,True,True,True
knn,2.0,0.25,8.0,1.75,5,0,12,"[0.3719380202616389, 0.48133075337625403, 1.9036331463446412, 0.47657157702142994, 2.0, 0.2899492575884986, 1.6299681625243625, 0.6223971543569531, 0.25, 0.6535509434252986]",5.5,0.5585357647664595,0.10155195723026536,True,True,True
knn,2.0,0.25,8.0,1.75,7,0,12,"[0.3719380202616389, 0.48133075337625403, 1.9036331463446412, 0.47657157702142994, 2.0, 0.2899492575884986, 1.6299681625243625, 0.6223971543569531, 0.25, 0.6535509434252986]",7.25,0.44009370188054037,0.06070257956972971,True,True,True
iforest,2.0,0.25,8.0,1.75,0,1,12,"[1.115446476366478, 2.0, 0.36903356847198093, 1.7328560152559542, 0.5472176344281577, 0.9335059411065979, 0.25, 0.4324750338066486, 1.9895601803984606, 0.28111378438793444]",16.0,0.44391544264634614,0.027744715165396634,True,True,True
knn,2.0,0.25,8.0,1.75,1,1,12,"[1.115446476366478, 2.0, 0.36903356847198093, 1.7328560152559542, 0.5472176344281577, 0.9335059411065979, 0.25, 0.4324750338066486, 1.9895601803984606, 0.28111378438793444]",2.0,1.1154464763664782,0.5577232381832391,True,True,True
knn,2.0,0.25,8.0,1.75,3,1,12,"[1.115446476366478, 2.0, 0.36903356847198093, 1.7328560152559542, 0.5472176344281577, 0.9335059411065979, 0.25, 0.4324750338066486, 1.9895601803984606, 0.28111378438793444]",3.75,0.34134793167813776,0.09102611511417007,True,True,True
knn,2.0,0.25,8.0,1.75,5,1,12,"[1.115446476366478, 2.0, 0.36903356847198093, 1.7328560152559542, 0.5472176344281577, 0.9335059411065979, 0.25, 0.4324750338066486, 1.9895601803984606, 0.28111378438793444]",5.5,2.220446092677295e-16,4.0371747139587186e-17,True,True,True
knn,2.0,0.25,8.0,1.75,7,1,12,"[1.115446476366478, 2.0, 0.36903356847198093, 1.7328560152559542, 0.5472176344281577, 0.9335059411065979, 0.25, 0.4324750338066486, 1.9895601803984606, 0.28111378438793444]",7.25,4.440892156920257e-16,6.125368492303803e-17,True,True,True
iforest,2.0,0.25,8.0,1.75,0,2,12,"[0.8799919580301737, 0.511429615679661, 0.3522238684594032, 2.0, 0.7920830396566199, 1.2980625724077495, 0.28464867945511385, 0.25, 0.6682421321108463, 1.9088820081576632]",16.0,1.858603865802786,0.11616274161267412,True,True,True
knn,2.0,0.25,8.0,1.75,1,2,12,"[0.8799919580301737, 0.511429615679661, 0.3522238684594032, 2.0, 0.7920830396566199, 1.2980625724077495, 0.28464867945511385, 0.25, 0.6682421321108463, 1.9088820081576632]",2.0,1.9088820081576625,0.9544410040788313,True,False,True
knn,2.0,0.25,8.0,1.75,3,2,12,"[0.8799919580301737, 0.511429615679661, 0.3522238684594032, 2.0, 0.7920830396566199, 1.2980625724077495, 0.28464867945511385, 0.25, 0.6682421321108463, 1.9088820081576632]",3.75,1.6805722523182238,0.448152600618193,True,True,True
knn,2.0,0.25,8.0,1.75,5,2,12,"[0.8799919580301737, 0.511429615679661, 0.3522238684594032, 2.0, 0.7920830396566199, 1.2980625724077495, 0.28464867945511385, 0.25, 0.6682421321108463, 1.9088820081576632]",5.5,1.4152068168942384,0.257310330344407,True,True,True
knn,2.0,0.25,8.0,1.75,7,2,12,"[0.8799919580301737, 0.511429615679661, 0.3522238684594032, 2.0, 0.7920830396566199, 1.2980625724077495, 0.28464867945511385, 0.25, 0.6682421321108463, 1.9088820081576632]",7.25,1.3014787731411015,0.17951431353670366,True,True,True
iforest,2.0,0.25,8.0,1.75,0,3,12,"[0.34831370397735684, 1.3157429640121758, 2.0, 0.9321096812474068, 0.25, 0.890148669570539, 0.34626040325868657, 0.42361510245168243, 0.25171129746814663, 1.0513671825770388]",16.0,0.8718156844222049,0.05448848027638781,True,True,True
knn,2.0,0.25,8.0,1.75,1,3,12,"[0.34831370397735684, 1.3157429640121758, 2.0, 0.9321096812474068, 0.25, 0.890148669570539, 0.34626040325868657, 0.42361510245168243, 0.25171129746814663, 1.0513671825770388]",2.0,1.3157429640121758,0.6578714820060879,True,True,True
knn,2.0,0.25,8.0,1.75,3,3,12,"[0.34831370397735684, 1.3157429640121758, 2.0, 0.9321096812474068, 0.25, 0.890148669570539, 0.34626040325868657, 0.42361510245168243, 0.25171129746814663, 1.0513671825770388]",3.75,0.9891430866782731,0.26377148978087284,True,True,True
knn,2.0,0.25,8.0,1.75,5,3,12,"[0.34831370397735684, 1.3157429640121758, 2.0, 0.9321096812474068, 0.25, 0.890148669570539, 0.34626040325868657, 0.42361510245168243, 0.25171129746814663, 1.0513671825770388]",5.5,3.053113363214114e-16,5.551115205843844e-17,True,True,True
knn,2.0,0.25,8.0,1.75,7,3,12,"[0.34831370397735684, 1.3157429640121758, 2.0, 0.9321096812474068, 0.25, 0.890148669570539, 0.34626040325868657, 0.42361510245168243, 0.25171129746814663, 1.0513671825770388]",7.25,3.05311338130869e-16,4.211190870770607e-17,True,True,True
iforest,2.0,0.25,8.0,1.75,0,4,12,"[0.776884667282849, 1.6189139907090093, 0.38903350824703753, 1.2255110409249341, 2.0, 0.6948189373080604, 0.26436099779193845, 0.25, 0.3558654247102454, 0.7087798198311711]",16.0,0.535245595189392,0.033452849699337,True,True,True
knn,2.0,0.25,8.0,1.75,1,4,12,"[0.776884667282849, 1.6189139907090093, 0.38903350824703753, 1.2255110409249341, 2.0, 0.6948189373080604, 0.26436099779193845, 0.25, 0.3558654247102454, 0.7087798198311711]",2.0,1.225511040924934,0.612755520462467,True,True,True
knn,2.0,0.25,8.0,1.75,3,4,12,"[0.776884667282849, 1.6189139907090093, 0.38903350824703753, 1.2255110409249341, 2.0, 0.6948189373080604, 0.26436099779193845, 0.25, 0.3558654247102454, 0.7087798198311711]",3.75,0.5557907549407327,0.1482108679841954,True,True,True
knn,2.0,0.25,8.0,1.75,5,4,12,"[0.776884667282849, 1.6189139907090093, 0.38903350824703753, 1.2255110409249341, 2.0, 0.6948189373080604, 0.26436099779193845, 0.25, 0.3558654247102454, 0.7087798198311711]",5.5,0.10523915276550634,0.019134391411910243,True,True,True
knn,2.0,0.25,8.0,1.75,7,4,12,"[0.776884667282849, 1.6189139907090093, 0.38903350824703753, 1.2255110409249341, 2.0, 0.6948189373080604, 0.26436099779193845, 0.25, 0.3558654247102454, 0.7087798198311711]",7.25,2.22044611594175e-16,3.0626842978506896e-17,True,True,True
iforest,2.0,0.25,8.0,1.75,0,5,12,"[0.8139399523216253, 0.37824356724141583, 2.0, 0.9693473992182955, 0.7799905219859348, 1.5448508444929756, 0.8346280189984667, 0.4833190801683405, 0.25, 1.6940584854543288]",16.0,1.5904472147633921,0.09940295092271201,True,True,True
knn,2.0,0.25,8.0,1.75,1,5,12,"[0.8139399523216253, 0.37824356724141583, 2.0, 0.9693473992182955, 0.7799905219859348, 1.5448508444929756, 0.8346280189984667, 0.4833190801683405, 0.25, 1.6940584854543288]",2.0,1.6940584854543295,0.8470292427271647,True,True,True
knn,2.0,0.25,8.0,1.75,3,5,12,"[0.8139399523216253, 0.37824356724141583, 2.0, 0.9693473992182955, 0.7799905219859348, 1.5448508444929756, 0.8346280189984667, 0.4833190801683405, 0.25, 1.6940584854543288]",3.75,1.353123688215554,0.3608329835241477,True,True,True
knn,2.0,0.25,8.0,1.75,5,5,12,"[0.8139399523216253, 0.37824356724141583, 2.0, 0.9693473992182955, 0.7799905219859348, 1.5448508444929756, 0.8346280189984667, 0.4833190801683405, 0.25, 1.6940584854543288]",5.5,0.9549037280075058,0.17361885963772833,True,True,True
knn,2.0,0.25,8.0,1.75,7,5,12,"[0.8139399523216253, 0.37824356724141583, 2.0, 0.9693473992182955, 0.7799905219859348, 1.5448508444929756, 0.8346280189984667, 0.4833190801683405, 0.25, 1.6940584854543288]",7.25,0.7842380307754855,0.1081707628655842,True,True,True
iforest,2.0,0.25,8.0,1.75,0,6,12,"[0.5153165094363976, 0.4562521205312901, 0.6826360350689844, 1.0591953681177735, 0.5341377325762923, 2.0, 0.25556477473747613, 1.1081809360081236, 0.9273613660190568, 0.25]",16.0,0.435347042811206,0.027209190175700376,True,True,True
knn,2.0,0.25,8.0,1.75,1,6,12,"[0.5153165094363976, 0.4562521205312901, 0.6826360350689844, 1.0591953681177735, 0.5341377325762923, 2.0, 0.25556477473747613, 1.1081809360081236, 0.9273613660190568, 0.25]",2.0,0.9273613660190573,0.46368068300952864,True,True,True
knn,2.0,0.25,8.0,1.75,3,6,12,"[0.5153165094363976, 0.4562521205312901, 0.6826360350689844, 1.0591953681177735, 0.5341377325762923, 2.0, 0.25556477473747613, 1.1081809360081236, 0.9273613660190568, 0.25]",3.75,0.8801952312887578,0.23471872834366875,True,True,True
knn,2.0,0.25,8.0,1.75,5,6,12,"[0.5153165094363976, 0.4562521205312901, 0.6826360350689844, 1.0591953681177735, 0.5341377325762923, 2.0, 0.25556477473747613, 1.1081809360081236, 0.9273613660190568, 0.25]",5.5,0.9881255967960703,0.17965919941746733,True,True,True
knn,2.0,0.25,8.0,1.75,7,6,12,"[0.5153165094363976, 0.4562521205312901, 0.6826360350689844, 1.0591953681177735, 0.5341377325762923, 2.0, 0.25556477473747613, 1.1081809360081236, 0.9273613660190568, 0.25]",7.25,1.0936053484740786,0.15084211703090739,True,True,True
iforest,2.0,0.25,8.0,1.75,0,7,12,"[0.31420763800881796, 0.896565457328119, 0.28568290629093757, 1.0873295979155162, 0.25, 0.3752041968983379, 0.6669277393244245, 0.3167055684352961, 0.45587695176163845, 2.0]",16.0,1.962438382462877,0.12265239890392982,True,True,True
knn,2.0,0.25,8.0,1.75,1,7,12,"[0.31420763800881796, 0.896565457328119, 0.28568290629093757, 1.0873295979155162, 0.25, 0.3752041968983379, 0.6669277393244245, 0.3167055684352961, 0.45587695176163845, 2.0]",2.0,2.0000000000000004,1.0000000000000002,True,False,True
knn,2.0,0.25,8.0,1.75,3,7,12,"[0.31420763800881796, 0.896565457328119, 0.28568290629093757, 1.0873295979155162, 0.25, 0.3752041968983379, 0.6669277393244245, 0.3167055684352961, 0.45587695176163845, 2.0]",3.75,1.9011595795376064,0.506975887876695,True,True,True
knn,2.0,0.25,8.0,1.75,5,7,12,"[0.31420763800881796, 0.896565457328119, 0.28568290629093757, 1.0873295979155162, 0.25, 0.3752041968983379, 0.6669277393244245, 0.3167055684352961, 0.45587695176163845, 2.0]",5.5,1.775492370676522,0.32281679466845853,True,True,True
knn,2.0,0.25,8.0,1.75,7,7,12,"[0.31420763800881796, 0.896565457328119, 0.28568290629093757, 1.0873295979155162, 0.25, 0.3752041968983379, 0.6669277393244245, 0.3167055684352961, 0.45587695176163845, 2.0]",7.25,1.7216349954503432,0.23746689592418527,True,True,True
iforest,2.0,0.125,16.0,1.875,0,0,12,"[0.21230037839663002, 0.2993974857986562, 1.8725539790080592, 0.2954569323979304, 2.0, 0.15231850537652034, 1.522517045686405, 0.42177431872177984, 0.125, 0.4501555365601755]",32.0,0.42847214838485237,0.013389754637026637,True,True,True
