distribution,forest_seed,trees,point_index,value,theory,empirical,squared_error,hoeffding_epsilon_alpha_0_05
uniform,4,1000,42,0.3768270243438684,7.862755159039732,7.784,0.006202375075373579,4.294694083467376
uniform,4,1000,43,0.3973899704902567,7.440711651787301,7.387,0.0028849415377203078,4.294694083467376
uniform,4,1000,44,0.41889652039352654,8.161866810949489,8.199,0.0013788737290609978,4.294694083467376
uniform,4,1000,45,0.42168598548526093,8.193944485027131,8.233,0.0015253332497960005,4.294694083467376
uniform,4,1000,46,0.43612496060343353,7.105039264653919,7.051,0.00292024212433627,4.294694083467376
uniform,4,1000,47,0.4907593379136015,7.9900059568556285,7.989,1.0119491953862877e-06,4.294694083467376
uniform,4,1000,48,0.49305790838246155,8.176750839630277,8.163,0.00018908559053757852,4.294694083467376
uniform,4,1000,49,0.5059717295112173,8.081738001127519,8.036,0.002091964747140972,4.294694083467376
uniform,4,1000,50,0.5160054044178892,8.247651931574296,8.232,0.0002449829620064721,4.294694083467376
uniform,4,1000,51,0.5262646083592845,7.977456347624656,7.962,0.00023889868189422555,4.294694083467376
uniform,4,1000,52,0.5479668692584994,8.019257641958694,8.021,3.0358115441070164e-06,4.294694083467376
uniform,4,1000,53,0.5588674268295427,8.772338272839733,8.741,0.0009820873445775405,4.294694083467376
uniform,4,1000,54,0.5636984498068287,9.15421871320393,9.126,0.0007962957748856779,4.294694083467376
uniform,4,1000,55,0.5679176669714794,9.188778188707722,9.187,3.1619550802738086e-06,4.294694083467376
uniform,4,1000,56,0.5707420095287733,8.656070453523178,8.649,4.999131302343008e-05,4.294694083467376
uniform,4,1000,57,0.6024771542784757,8.491805165270746,8.482,9.614126598665299e-05,4.294694083467376
uniform,4,1000,58,0.6034851135426197,8.554876638709699,8.533,0.0004785873212347067,4.294694083467376
uniform,4,1000,59,0.6163128254441279,8.510140532679985,8.535,0.0006179931154348874,4.294694083467376
uniform,4,1000,60,0.619285141111707,8.431852535594519,8.436,1.720146099473071e-05,4.294694083467376
uniform,4,1000,61,0.6389328671045996,7.518495681080003,7.509,9.016795917311606e-05,4.294694083467376
uniform,4,1000,62,0.6630144648630054,8.281195784640342,8.34,0.003457935744064981,4.294694083467376
uniform,4,1000,63,0.6690371333934167,9.805071463825834,9.823,0.0003214324093483752,4.294694083467376
uniform,4,1000,64,0.6693000333432069,9.821822331772205,9.833,0.00012494026701065486,4.294694083467376
uniform,4,1000,65,0.6749704440586226,9.668350750971976,9.671,7.018520412480773e-06,4.294694083467376
uniform,4,1000,66,0.6765259549662843,9.893797583148661,9.868,0.0006655152963120658,4.294694083467376
uniform,4,1000,67,0.6786256487113331,9.24013174292104,9.181,0.003496563020880077,4.294694083467376
uniform,4,1000,68,0.6888607814390348,7.74007049312846,7.595,0.021045447976534654,4.294694083467376
uniform,4,1000,69,0.7230989504725206,8.36640403094709,8.32,0.0021533340881384143,4.294694083467376
uniform,4,1000,70,0.7258071852104586,8.704421092632163,8.674,0.0009254428769346875,4.294694083467376
uniform,4,1000,71,0.7326426716385113,8.485401129191711,8.464,0.0004580083306802904,4.294694083467376
uniform,4,1000,72,0.7421324624519763,8.734983821386326,8.639,0.009212893967922216,4.294694083467376
uniform,4,1000,73,0.7468511551751316,8.828474646990767,8.725,0.010707002569863852,4.294694083467376
uniform,4,1000,74,0.7532123109047943,8.306966980142478,8.214,0.00864285939681189,4.294694083467376
uniform,4,1000,75,0.7675301576223436,7.877705597213648,7.891,0.00017674114544576292,4.294694083467376
uniform,4,1000,76,0.7736345859499347,7.525852294645091,7.532,3.779428113077741e-05,4.294694083467376
uniform,4,1000,77,0.8160333917416788,6.959760424786895,6.997,0.0013867859620525168,4.294694083467376
uniform,4,1000,78,0.827111515118225,7.1667362750160315,7.169,5.124450803041357e-06,4.294694083467376
uniform,4,1000,79,0.847686801314312,6.96784903777532,6.972,1.7230487390724293e-05,4.294694083467376
uniform,4,1000,80,0.869435932012613,8.461949892519598,8.492,0.0009030089595837415,4.294694083467376
uniform,4,1000,81,0.8715455959727187,9.232835457622851,9.201,0.001013496362056328,4.294694083467376
uniform,4,1000,82,0.8731837551913438,9.11771552801752,9.108,9.439148465920452e-05,4.294694083467376
uniform,4,1000,83,0.878097718837899,9.576273318176924,9.507,0.004798792611241326,4.294694083467376
uniform,4,1000,84,0.8787660802520592,9.719030203385426,9.646,0.005333410606516555,4.294694083467376
uniform,4,1000,85,0.8807253785767637,8.861769264492333,8.794,0.004592673209831682,4.294694083467376
uniform,4,1000,86,0.8884750367796362,7.575669891274749,7.587,0.0001283713637260108,4.294694083467376
uniform,4,1000,87,0.9095386876683851,7.624419509351153,7.748,0.015272137669009847,4.294694083467376
uniform,4,1000,88,0.9152072991632635,9.08370610493246,9.218,0.018034850252411347,4.294694083467376
uniform,4,1000,89,0.916039795011558,9.42533563345772,9.562,0.018677149082402353,4.294694083467376
uniform,4,1000,90,0.9173185265785717,8.837589341281598,8.955,0.013785262780689082,4.294694083467376
uniform,4,1000,91,0.9248296392298053,8.580917196687832,8.687,0.011253561158568055,4.294694083467376
uniform,4,1000,92,0.9261609891009103,8.682366288710753,8.781,0.009728609002690625,4.294694083467376
uniform,4,1000,93,0.9294453831237451,7.737628528907932,7.868,0.016996720474710104,4.294694083467376
uniform,4,1000,94,0.9482721191184535,6.295935984302057,6.312,0.00025805260034377414,4.294694083467376
uniform,4,1000,95,0.9690564723067646,6.397573664707197,6.498,0.010085448820342485,4.294694083467376
uniform,4,1000,96,0.9768832816213957,7.023535524549276,7.083,0.0035360238406297938,4.294694083467376
uniform,4,1000,97,0.9802285574883646,7.042911122753019,7.118,0.005638339486212296,4.294694083467376
uniform,4,1000,98,0.9860310550077437,6.428889058472664,6.5,0.005056766004904214,4.294694083467376
uniform,4,1000,99,0.9921066976509181,5.45570958946128,5.52,0.0041332568872370565,4.294694083467376
uniform,4,3000,0,0.013235310869540884,5.89483360223657,5.924,0.0008506787584946272,2.4795427851769825
uniform,4,3000,1,0.013578217889658961,5.9398928241550655,5.967666666666666,0.0007713863278592014,2.4795427851769825
uniform,4,3000,2,0.02596689266871821,6.143518202620513,6.173666666666667,0.0009089298843422411,2.4795427851769825
uniform,4,3000,3,0.03361307590456397,7.311023410840539,7.368666666666667,0.0033227449422364337,2.4795427851769825
uniform,4,3000,4,0.033755497377304544,7.302465504286522,7.364333333333334,0.0038276282709655525,2.4795427851769825
uniform,4,3000,5,0.05072579595117743,6.630721472850821,6.695,0.004131729052467775,2.4795427851769825
uniform,4,3000,6,0.06078191559097468,7.765436067942099,7.807666666666667,0.0017834234686354583,2.4795427851769825
uniform,4,3000,7,0.06127129087034777,7.753117993232909,7.783,0.0008929343284285033,2.4795427851769825
uniform,4,3000,8,0.07652765103908488,6.853153178538847,6.892333333333333,0.0015350845297199278,2.4795427851769825
uniform,4,3000,9,0.09271382048425225,7.777685461920404,7.807666666666667,0.0008988726380373351,2.4795427851769825
uniform,4,3000,10,0.09524400822652956,7.847294680797592,7.878666666666667,0.0009842014973694049,2.4795427851769825
uniform,4,3000,11,0.10751312154870207,7.174736421297694,7.218666666666667,0.0019298664581781492,2.4795427851769825
uniform,4,3000,12,0.12722125035421994,8.198485927396902,8.202333333333334,1.4802532439688454e-05,2.4795427851769825
uniform,4,3000,13,0.12799776856522116,8.233651046182182,8.233,4.238611313326479e-07,2.4795427851769825
uniform,4,3000,14,0.1413149297995182,8.58426220759424,8.544,0.001621045360361591,2.4795427851769825
uniform,4,3000,15,0.1431390570813298,8.827317240420054,8.791666666666666,0.0012709634089457798,2.4795427851769825
uniform,4,3000,16,0.14719403931970454,8.147723506454192,8.1,0.002277533068283294,2.4795427851769825
