distribution,forest_seed,trees,mse,mae,max_abs_error,hoeffding_epsilon_alpha_0_05,hoeffding_violations
uniform,3,100,0.07714178635069423,0.22045215591115197,0.687711900529278,13.581015157406195,0
uniform,3,300,0.02213882430389825,0.12939968431510623,0.29151407260309803,7.841002756996855,0
uniform,3,1000,0.002666233390117378,0.04061473455453294,0.1428594673200152,4.294694083467376,0
uniform,3,3000,0.001384702821138199,0.03020879559446267,0.09785946732001527,2.4795427851769825,0
uniform,3,10000,0.00042368864994050097,0.01677676876405899,0.0496474644054814,1.3581015157406195,0
uniform,3,30000,8.921588118218408e-05,0.007813884920003575,0.023160735346080763,0.7841002756996853,0
uniform,4,100,0.05707442169283942,0.18945387274042005,0.534419509351153,13.581015157406195,0
uniform,4,300,0.01158543646578517,0.08458629950468605,0.34085011203975135,7.841002756996855,0
uniform,4,1000,0.0029979629340956006,0.04165604617113939,0.14507049312846032,4.294694083467376,0
uniform,4,3000,0.0015872016455663618,0.03216036380304312,0.08728809947072236,2.4795427851769825,0
uniform,4,10000,0.0007933385118173883,0.02260765070954453,0.06993582221473815,1.3581015157406195,0
uniform,4,30000,0.00018770637427882874,0.010190235098584495,0.04496136879407864,0.7841002756996853,0
uniform,5,100,0.026728798259334864,0.1257494901002289,0.4349285361741657,13.581015157406195,0
uniform,5,300,0.005460866278946249,0.05876989950761697,0.20085011203975167,7.841002756996855,0
uniform,5,1000,0.005027623888128789,0.055152176274729854,0.19592853617416495,4.294694083467376,0
uniform,5,3000,0.0013685327982143518,0.02846069934908029,0.09370593132058591,2.4795427851769825,0
uniform,5,10000,0.00047787700353295207,0.0170188949942236,0.05912336129030216,1.3581015157406195,0
uniform,5,30000,6.24798163088473e-05,0.006188073549476636,0.019904939506398378,0.7841002756996853,0
exponential,0,100,0.026172125334288126,0.12893608148169322,0.4472582878637521,13.581015157406195,0
exponential,0,300,0.01046621632734066,0.08246733712897175,0.27623184726658856,7.841002756996855,0
exponential,0,1000,0.0023898349707057493,0.037542977895774494,0.13854272363444764,4.294694083467376,0
exponential,0,3000,0.0015045882840143158,0.03354890749959998,0.07677454812483475,2.4795427851769825,0
exponential,0,10000,0.00046076600112540363,0.016459281629897834,0.058579231844399615,1.3581015157406195,0
exponential,0,30000,0.0002241376990256945,0.012281172201670949,0.03742104157651305,0.7841002756996853,0
exponential,1,100,0.05239430737905046,0.18321074965520864,0.6007033702123952,13.581015157406195,0
exponential,1,300,0.04055021587735056,0.16083681233327313,0.46403670354572846,7.841002756996855,0
exponential,1,1000,0.005493715865484675,0.060798633546215494,0.20731569393575544,4.294694083467376,0
exponential,1,3000,0.001569618885489966,0.03242095200106393,0.1036490272690882,2.4795427851769825,0
exponential,1,10000,0.0003902745670999124,0.015927454885604705,0.05420340848561622,1.3581015157406195,0
exponential,1,30000,0.00017306827104019974,0.011149980839915403,0.041550083340657906,0.7841002756996853,0
exponential,2,100,0.057774693642027336,0.1910662072878205,0.5784276336270118,13.581015157406195,0
exponential,2,300,0.017154516495695975,0.10865217814179148,0.2925066478676026,7.841002756996855,0
exponential,2,1000,0.008334973006420854,0.07905013126969702,0.17600745732216883,4.294694083467376,0
exponential,2,3000,0.0025032967577774063,0.04192110922819474,0.11441330206706013,2.4795427851769825,0
exponential,2,10000,0.0007810662729481646,0.022747473613422105,0.07146347697918642,1.3581015157406195,0
exponential,2,30000,0.00023469490375049068,0.012770569335276578,0.039978488938316126,0.7841002756996853,0
exponential,3,100,0.0213702468318617,0.11852884729093977,0.35268430606424506,13.581015157406195,0
exponential,3,300,0.010710178994746498,0.08568613406922926,0.24307924091817235,7.841002756996855,0
exponential,3,1000,0.0054405274158783115,0.05921196989220341,0.1553485020078078,4.294694083467376,0
exponential,3,3000,0.000827823890368515,0.022956978938415796,0.0788832499926766,2.4795427851769825,0
exponential,3,10000,0.00022234298821974114,0.011572921097055145,0.040967327654445995,1.3581015157406195,0
exponential,3,30000,0.00011856298571672615,0.0092272222348738,0.026743580114116483,0.7841002756996853,0
exponential,4,100,0.0654849655068141,0.21075740021913117,0.5527417121362479,13.581015157406195,0
exponential,4,300,0.011178696012368483,0.08773815245952403,0.238372151637531,7.841002756996855,0
exponential,4,1000,0.002902891446834356,0.04506958796345405,0.12666962324268738,4.294694083467376,0
exponential,4,3000,0.0010268036932648834,0.026785794492755644,0.07041200279615367,2.4795427851769825,0
exponential,4,10000,0.0005652090178739299,0.019432465799399265,0.0568179231765793,1.3581015157406195,0
exponential,4,30000,0.000252595201787411,0.01320568453109924,0.04407666346756578,0.7841002756996853,0
