n1,n0,kappa,delta,seed,large_gap_position,separation_multiplier,predicted_scale,separation,anomaly_gap_min,anomaly_gap_max,normal_gap_min,normal_gap_max,assumption_4_2,n1_over_n0,anomaly_witness_index,anomaly_witness_depth,normal_witness_index,normal_witness_depth,failure_margin,anomaly_limit_depth,normal_limit_depth,infinite_failure_margin
5,25,2500.0,2499.0,3,3,1000.0,62500.0,62500000.0,1.0,2500.0,1.0,2500.0,True,0.2,2,4.499600510307344,5,2.009196161198579,-2.490404349108765,4.499600159936025,2.0091561148004367,-2.4904440451355887
9,81,8100.0,8099.0,0,0,1.0,656100.0,656100.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,4,5.928604317534225,9,2.0219108983400744,-3.9066934191941503,5.916296433419721,2.0097052358715466,-3.906591197548174
9,81,8100.0,8099.0,0,0,10.0,656100.0,6561000.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,4,5.917540894548772,9,2.01093934709019,-3.906601547458582,5.916296433419721,2.0097052358715466,-3.906591197548174
9,81,8100.0,8099.0,0,0,1000.0,656100.0,656100000.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,4,5.916308893256593,9,2.009717592067118,-3.906591301189475,5.916296433419721,2.0097052358715466,-3.906591197548174
9,81,8100.0,8099.0,1,3,1.0,656100.0,656100.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,6,5.01243430441791,9,2.0219108976601525,-2.9905234067577577,5.000123334936475,2.0097052358715466,-2.9904180990649287
9,81,8100.0,8099.0,1,3,10.0,656100.0,6561000.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,6,5.001368101275897,9,2.010939347089495,-2.9904287541864023,5.000123334936475,2.0097052358715466,-2.9904180990649287
9,81,8100.0,8099.0,1,3,1000.0,656100.0,656100000.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,6,5.000135797821701,9,2.009717592067118,-2.990418205754583,5.000123334936475,2.0097052358715466,-2.9904180990649287
9,81,8100.0,8099.0,2,4,1.0,656100.0,656100.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,2,5.000086379359418,9,2.02191089743351,-2.9781754819259083,5.000123334936475,2.0097052358715466,-2.9904180990649287
9,81,8100.0,8099.0,2,4,10.0,656100.0,6561000.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,2,5.000133066378993,9,2.010939347089263,-2.9891937192897298,5.000123334936475,2.0097052358715466,-2.9904180990649287
9,81,8100.0,8099.0,2,4,1000.0,656100.0,656100000.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,2,5.000123447568861,9,2.009717592067118,-2.990405855501743,5.000123334936475,2.0097052358715466,-2.9904180990649287
9,81,8100.0,8099.0,3,7,1.0,656100.0,656100.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,4,5.916262488417638,9,2.0219108967535764,-3.894351591664061,5.916296433419721,2.0097052358715466,-3.906591197548174
9,81,8100.0,8099.0,3,7,10.0,656100.0,6561000.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,4,5.916306469320306,9,2.010939347088568,-3.9053671222317377,5.916296433419721,2.0097052358715466,-3.906591197548174
9,81,8100.0,8099.0,3,7,1000.0,656100.0,656100000.0,1.0,8100.0,1.0,8100.0,True,0.1111111111111111,4,5.916296549100386,9,2.009717592067118,-3.9065789570332674,5.916296433419721,2.0097052358715466,-3.906591197548174
17,289,28900.0,28899.0,0,0,1.0,8352100.0,8352100.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,8,7.313953688066189,17,2.0133317050656254,-5.300621983000563,7.3104721298350865,2.0098816394213523,-5.300590490413734
17,289,28900.0,28899.0,0,0,10.0,8352100.0,83521000.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,8,7.310821370156658,17,2.0102277200270784,-5.30059365012958,7.3104721298350865,2.0098816394213523,-5.300590490413734
17,289,28900.0,28899.0,0,0,1000.0,8352100.0,8352100000.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,8,7.3104756234353765,17,2.009885101412941,-5.300590522022436,7.3104721298350865,2.0098816394213523,-5.300590490413734
17,289,28900.0,28899.0,1,7,1.0,8352100.0,8352100.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,12,6.170252463833938,17,2.01333170505566,-4.156920758778278,6.166770425019957,2.0098816394213523,-4.156888785598604
17,289,28900.0,28899.0,1,7,10.0,8352100.0,83521000.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,12,6.167119713250393,17,2.0102277200270686,-4.156891993223325,6.166770425019957,2.0098816394213523,-4.156888785598604
17,289,28900.0,28899.0,1,7,1000.0,8352100.0,8352100000.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,12,6.166773919099169,17,2.009885101412941,-4.156888817686228,6.166770425019957,2.0098816394213523,-4.156888785598604
17,289,28900.0,28899.0,2,8,1.0,8352100.0,8352100.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,4,6.166791388632212,17,2.0133317050542363,-4.153459683577975,6.166770425019956,2.0098816394213523,-4.156888785598603
17,289,28900.0,28899.0,2,8,10.0,8352100.0,83521000.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,4,6.166773607634758,17,2.010227720027067,-4.156545887607691,6.166770425019956,2.0098816394213523,-4.156888785598603
17,289,28900.0,28899.0,2,8,1000.0,8352100.0,8352100000.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,4,6.166770458053332,17,2.009885101412941,-4.156885356640391,6.166770425019956,2.0098816394213523,-4.156888785598603
17,289,28900.0,28899.0,3,15,1.0,8352100.0,8352100.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,8,7.310493570721273,17,2.013331705044271,-5.297161865677002,7.3104721298350865,2.0098816394213523,-5.300590490413734
17,289,28900.0,28899.0,3,15,10.0,8352100.0,83521000.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,8,7.310475360325612,17,2.010227720027057,-5.300247640298555,7.3104721298350865,2.0098816394213523,-5.300590490413734
17,289,28900.0,28899.0,3,15,1000.0,8352100.0,8352100000.0,1.0,28900.0,1.0,28900.0,True,0.058823529411764705,8,7.310472163347381,17,2.009885101412941,-5.30058706193444,7.3104721298350865,2.0098816394213523,-5.300590490413734
33,1089,108900.0,108899.0,0,0,1.0,118592100.0,118592100.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,16,8.699746717953582,33,2.010849794028248,-6.688896923925334,8.698820264381137,2.009932101675008,-6.688888162706129
33,1089,108900.0,108899.0,0,0,10.0,118592100.0,1185921000.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,16,8.69891298632394,33,2.010023946745693,-6.688889039578247,8.698820264381137,2.009932101675008,-6.688888162706129
